polynomial_binary,polynomial_hex,polynomial_expression,count,paper_filter_pass_count,paper_filter_pass_rate,zero_FP_OFP_count,zero_FP_OFP_rate,mean_SAC_std,best_SAC_std
111110101,0x1F5,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,6250,327,0.052320,871,0.139360,0.031436005007,0.023180506307
111100111,0x1E7,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,6250,435,0.069600,891,0.142560,0.031460314018,0.025235213983
111001111,0x1CF,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,6250,450,0.072000,852,0.136320,0.031423249677,0.023518739412
111110011,0x1F3,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,6251,392,0.062710,850,0.135978,0.031429090449,0.023518739412
110101001,0x1A9,x^8 + x^7 + x^5 + x^3 + 1,6250,358,0.057280,841,0.134560,0.031456351260,0.023715594618
110001101,0x18D,x^8 + x^7 + x^3 + x^2 + 1,6250,381,0.060960,907,0.145120,0.031439445171,0.023739459058
110000111,0x187,x^8 + x^7 + x^2 + x + 1,6250,536,0.085760,811,0.129760,0.031457213832,0.024272047894
101110001,0x171,x^8 + x^6 + x^5 + x^4 + 1,6250,334,0.053440,758,0.121280,0.031450740737,0.024700468496
101101001,0x169,x^8 + x^6 + x^5 + x^3 + 1,6249,299,0.047848,862,0.137942,0.031478598964,0.023900855958
101100101,0x165,x^8 + x^6 + x^5 + x^2 + 1,6250,407,0.065120,790,0.126400,0.031417607694,0.022576078434
101100011,0x163,x^8 + x^6 + x^5 + x + 1,6250,384,0.061440,850,0.136000,0.031434225784,0.024028944919
101011111,0x15F,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,6250,345,0.055200,809,0.129440,0.031425181711,0.023415873404
101001101,0x14D,x^8 + x^6 + x^3 + x^2 + 1,6250,394,0.063040,844,0.135040,0.031412691582,0.022963499131
100101101,0x12D,x^8 + x^5 + x^3 + x^2 + 1,6250,267,0.042720,846,0.135360,0.031504520130,0.023900855958
100101011,0x12B,x^8 + x^5 + x^3 + x + 1,6250,363,0.058080,889,0.142240,0.031451440686,0.023608537297
100011101,0x11D,x^8 + x^4 + x^3 + x^2 + 1,6250,332,0.053120,895,0.143200,0.031439226636,0.024206884615
