binary,hex,polynomial,irreducible_degree8
111110101,0x1F5,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,True
111100111,0x1E7,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,True
111001111,0x1CF,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,True
111110011,0x1F3,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,True
110101001,0x1A9,x^8 + x^7 + x^5 + x^3 + 1,True
110001101,0x18D,x^8 + x^7 + x^3 + x^2 + 1,True
110000111,0x187,x^8 + x^7 + x^2 + x + 1,True
101110001,0x171,x^8 + x^6 + x^5 + x^4 + 1,True
101101001,0x169,x^8 + x^6 + x^5 + x^3 + 1,True
101100101,0x165,x^8 + x^6 + x^5 + x^2 + 1,True
101100011,0x163,x^8 + x^6 + x^5 + x + 1,True
101011111,0x15F,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,True
101001101,0x14D,x^8 + x^6 + x^3 + x^2 + 1,True
100101101,0x12D,x^8 + x^5 + x^3 + x^2 + 1,True
100101011,0x12B,x^8 + x^5 + x^3 + x + 1,True
100011101,0x11D,x^8 + x^4 + x^3 + x^2 + 1,True
